REPORT_NUMBER,NAME,DATETIME_OF_INCIDENT,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,CLASS_TXT,LOSS,RECOV,SPUNIT,SPUNIT_TXT,TOTAL_BBLS_RELEASED,FATALITY_IND,INJURY_IND,SHUTDOWN_DUE_ACCIDENT_IND,IGNITE_IND,EXPLODE_IND,ON_OFF_SHORE,INCIDENT_AREA_TYPE,DEPTH_OF_COVER,ITEM_INVOLVED,NOMINAL_PIPE_SIZE_IN,PIPE_DIAMETER,INSTALLATION_YEAR,AGE_OF_FACILITY,RELEASE_TYPE,LEAK_TYPE,TOTAL_EST_COST,ACCIDENT_PRESSURE,DETECTED,WATER_CONTAM_IND,CAUSE,,,MPVST,SURNO,TELRN,TELDT,PPPRP,EMRPRP,ENVPRP,OPCPRP,OPCPRPO,PRODPRP,OPPRP,OOPPRP,OOPPRPO,SPILLED,CLASS,GEN_CAUSE,LINE_SEG,IFED,INTER,OFFAREA,BNUMB,OFFST,OCS,OPPROP,PIPEROW,HCA,HCADESC,SYSPRT,SYSPRT_TXT,SYSPRTO,FAIL_OC,FAIL_OCO,INC_PRS,MOP,LRTYPE,LRTYPEO,LEAK,PUNC_DIAM,RUPTURE,RUPTURE_TXT,RUPLN,PROPLN,UBLKVM,UBLKVA,UBLKVR,UBLKVC,DBLKVM,DBLKVA,DBLKVR,DBLKVC,SEGISO,VLVDIST,SEGCONF,INLINE,INLINE_TXT,DRHRMF,DRHRMFY,DRLRMF,DRLRMFY,DRUT,DRUTY,DRGEO,DRGEOY,DRCAL,DRCALY,DRCRK,DRCRKY,DRHARD,DRHARDY,DROTH,DROTHY,WALLTHK,SPEC,SMYS,SEAM,VALVE,MANU,MANYR,LOCLK,EFAT,NFAT,GPFAT,EINJ,NINJ,GPINJ,SHUTDAY,SHUTHR,SHUTMIN,EVAC,EVACNO,EVAC_REASON,EVAC_REASON_TEXT,STHH,STMN,IMPACT,REMEDIAL,RSURFACE,RGROUND,RSOIL,RVEG,RWILD,AMT_IN_WATER,OCEAN,SURFACE,GROUNDW,DRINK,DRINKSRC,DRINKSRC_TXT,COMP_BASED,DETECTED,DETECTEDO,DURLEAK_DAY,DURLEAK_HR,CAUSE,CAUSE_TXT,PIPE_COAT,PIPE_COAT_TXT,VIS_EXAM,VIS_EXAM_TXT,VIS_EXAMO,COR_CAUSE,COR_CAUSE_TXT,COR_CAUSEO,PROT,CPYR,PREV_DAM,PREV_DAM_YR,PREV_DAM_MO,PREV_DAM_UK,EARTH_MOVE,EARTH_MOVE_TXT,EARTH_MOVEO,FLOODS,FLOODS_TXT,FLOODSO,TEMPER,TEMPER_TXT,TEMPERO,THIRD_PARTY_GRP,THIRD_PARTY_GRP_TXT,THIRD_PARTY_TYPE,THIRD_PARTY_TYPE_TXT,THIRD_PARTY_TYPEO,EXCAV_TYPE,EXCAV_TYPE_TXT,EXCAV_ON,EXCAV_LAST_CONTACT,NOTIF,NOTIF_DATE,NOTIF_RCVD_TXT,MARKED,TEMP_MARK,TEMP_MARK_TXT,PERM_MARK,ACC_MARK,ACC_MARK_TXT,MKD_IN_TIME,FIRE_EXPLO,FIRE_EXPLO_TXT,PIPE_BODY,PIPE_BODY_TXT,PIPE_BODYO,COMPONENT,COMPONENT_TXT,COMPONENTO,JOINT,JOINT_TXT,JOINTO,BUTT,BUTT_TXT,BUTTO,FILLET,FILLET_TXT,FILLETO,PIPE_SEAM,PIPE_SEAM_TXT,PIPE_SEAMO,FAIL_TYPE,FAIL_TYPE_TXT,CONS_DEF,CONS_DEF_TXT,PIPE_DAMAGE,PRS_TEST,TEST_DATE,TEST_MED,TEST_MED_TXT,TEST_MEDO,TEST_TP,TEST_PRS,MALFUNC,MALFUNC_TXT,MALFUNCO,THREADS,THREADS_TXT,THREADSO,SEAL,SEAL_TXT,SEALO,IO_TYPE,IO_TYPE_TXT,IO_TYPEO,IO_DRUG,IO_ALCO,MISC,UNKNOWN,UNKNOWN_TXT,PNAME,PTEL,PEMAIL,PFAX,NARRATIVE
20020048,WILLIAMS PIPE LINE COMPANY,2/3/2002,41.68136751,-91.57206919,FUEL OIL,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",80,79,1,BARRELS,,NO,NO,YES,NO,NO,ONSHORE,ABOVE GROUND,,OTHER,1,,,,,,6802,NO,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",NO,EQUIPMENT,,,MP 106+07,,593693,2/3/2002,0,1000,5760,0,,42,0,0,,YES,3,6,IOWA CITY TANK FARM,NO,INTERSTATE,,,,NO,YES,NO,YES,HIGH POPULATION ,3,"PUMP/METER STATION; TERMINAL/TANK FARM PIPING AND EQUIPMENT, INCLUDING SUMPS",,14,1-INCH RELIEF LINE,275,275,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,SCHEDULE 40,,SCHEDULE 40 PIPE,,UNKNOWN,,3,0,0,0,0,0,0,2,0,0,NO,,,,,,NO,NO,NO,NO,NO,NO,NO,,,,,,,,NO,3,,,,21,"THREADS STRIPPED, BROKEN PIPE COUPLING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,OTHER,PIPE BROKE AT THREADED FITTING,,,,,,,,,,,,KENNETH L LYBARGER,9185730350,KENNETH.LYBARGER@WILLIAMS.COM,9185731183,ONE-INCH RELIEF LINE ON BREAKOUT TANK MANIFOLD WAS DISCOVERED BROKEN AT A THEREADED FITTING. THERE WAS NO CORROSION AND SUBSEQUENT INVESTIGATION DID NOT DETERMINE THE CAUSE. THERE IS A POSSIBILITY THAT THE LINE COULD HAVE BEEN DAMAGED BY ICE CHUNKS OR SNOW FALLING FROM THE TANK ROOF AND HITTING IT. THE LINE WAS PROMPTLY REPAIRED WITH NEW SCHEDULE 40 PIPE. FREE PHASE PRODUCT WAS RECOVERED WITH A VACUUM EXTRACTION TRAILER AND IMPACTED SOIL WAS EXCAVATED AND DISPOSED OF AT THE IOWA CITY LANDFILL IN ACCORDANCE WITH ACCEPTABLE ENVIRONMENTAL PRACTICES.
20020049,ENRON PIPELINE SERVICES CO,2/15/2002,35 25' 54.61,98 56' 37.7,CRUDE OIL,CRUDE OIL,300,299,1,BARRELS,,NO,NO,YES,NO,NO,ONSHORE,UNDER GROUND,60,BODY OF PIPE,10,,1949,,LEAK,PINHOLE,160544,NO,AIR PATROL OR GROUND SURVEILLANCE,YES,CORROSION,,,1439+47,,594131,2/15/2002,10000,127411,0,0,,25,300,22808,REPAIR,YES,4,1,ELK CITY TO CASHION,NO,INTRASTATE,,,,NO,NO,YES,NO,,5,"ONSHORE PIPELINE, INCLUDING VALVE SITES",,1,,100,640,1,,1,,,,,,YES,NO,NO,NO,YES,NO,NO,NO,147840,147840,YES,1,YES,YES,2002,NO,,NO,,NO,,NO,,NO,,NO,,NO,,0.37,,24000,LAP WELD,GATE,YOUNGSTOWN,1948,4,0,0,0,0,0,0,2,12,30,NO,,,,,,NO,YES,YES,NO,NO,NO,NO,300,NO,YES,NO,NO,,,NO,5,,3,0,2,"CORROSION, INTERNAL",2,COATED,1,LOCALIZED PITTING,,4,MICROBIOLOGICAL,,YES,1949,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GILBERT SCHUTZA,7133458210,GIL.SCHTZA@ENRON.COM,7136466472,"AERIAL PATROL REPORTED EVIDENCE OF OIL LEAK AT 1030 HOURS ON 02/15/02. AN IMMEDIATE RESPONSE INVESTIGATION REVEALED THAT CRUDE OIL WAS RELEASED INTO AN UNNAMED CREEK, WHERE IT TRAVELED 3/4 OF A MILE DOWN THE CREEK INTO A POND."
20020050,EXPLORER PIPELINE CO,2/21/2002,N 30 10 140,W 93 19.957,JET FUEL,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",6,6,2,GALLONS,,NO,NO,,,,ONSHORE,,,,,,,,,,920,,,,EQUIPMENT,,,"12"" MP 0",LAKE CHARLES STATION,NA,,0,0,0,0,,0,0,920,"RESPONSE,CLEAN-UP",YES,3,6,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROGER FLEMING,9184935112,RFLEMING@EXPL.COM,9184935177,
20020051,EXPLORER PIPELINE CO,2/16/2002,N 29 49' 12,W 95 09' 13,GASOLINE,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",3,3,1,BARRELS,,NO,NO,,,,ONSHORE,,,,,,,,,,700,,,,EQUIPMENT,,,"28"" MP70.8 ",HOUSTON STATION,NA,,0,0,0,0,,0,0,700,"RESPONSE,CLEAN-UP",YES,3,6,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROGER FLEMING,9184935112,RFLEMING@EXPL.COM,9184935177,
20020052,EXPLORER PIPELINE CO,2/18/2002,N 29 43' 03,W 95 10' 49,GASOLINE,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",2,1,1,BARRELS,,NO,NO,,,,ONSHORE,,,,,,,,,,7500,,,,EQUIPMENT,,,"28""MP0.0 PASADENA STA",,NA,,0,0,0,0,,0,0,7500,"RESPONSE,CLEANUP,REMEDIATION",YES,3,6,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROGER FLEMING,9184935112,RFLEMING@EXPL.COM,9184935177,
20020053,MOBIL OIL CORP - WEST COAST PIPELINE,2/19/2002,35 03.45N,119 03.53W,CRUDE OIL,CRUDE OIL,15,11,1,BARRELS,,NO,NO,YES,NO,NO,ONSHORE,SURFACE,0,PUMP,,,2001,,,,2610,NO,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",NO,EQUIPMENT,,,MP 75.00,,,,0,350,350,1120,LABOR,140,0,650,PUMP SEAL,YES,4,6,EMIDO STATION,NO,INTRASTATE,,,,NO,YES,NO,NO,,3,"PUMP/METER STATION; TERMINAL/TANK FARM PIPING AND EQUIPMENT, INCLUDING SUMPS",,4,,1000,1440,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,7,0,0,0,0,0,0,0,4,0,NO,,,,,,NO,YES,NO,NO,YES,NO,NO,,,,,,,,YES,3,,0,0,22,RUPTURED OR LEAKING SEAL/PUMP PACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,SEAL/PUMP PACKING,,,,,,,,,,M H ADAMS,7136563926,M.H.ADAMS@EXXONMOBIL.COM,7136568232,PUMP SEAL FAILED AND OPERATOR SHUT DOWN AND BLOCKED IN PUMP.  AREA WAS CLEANED UP FROM SURFACE CONTAMINATION.  PUMP SEAL WAS REPLACED AND UNIT RETURNED TO SERVICE.  ALL AGENCY NOTIFICATIONS MADE IN ACCORDANCE WITH PROCEDURES AND IN A TIMELY MANNER.  NO IMPACT TO PUBLIC SAFETY.  OIL CONTAINED ON SITE WITH VERY MINIMAL ENVIRONMENTAL IMPACT.
20020054,MARATHON ASHLAND PIPE LINE LLC,2/21/2002,39.3257,-87.89817,GASOLINE,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",20,18,1,BARRELS,,NO,NO,NO,NO,NO,ONSHORE,ABOVE GROUND,,VALVE,12,,1973,,,,28000,NO,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",NO,INCORRECT OPERATION,,,,STATION PIPING,,,0,10000,5000,0,,1000,12000,0,,YES,3,7,STATION PIPING VALVE,NO,INTERSTATE,,,,NO,YES,NO,NO,,4,OTHER,VALVE,8,,40,275,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,ANSI,GENERAL TWIN SEAL,1973,3,0,0,0,0,0,0,,,,NO,,,,0,0,NO,YES,NO,NO,YES,NO,NO,,,,,,,,YES,3,,0,1,23,INCORRECT OPERATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,FAILURE TO FOLLOW PROCEDURES,,0,0,,,,"JENNIFER RADER, MPL ENVIRONMENTAL, SAFETY AND REGULATORY COM",4194214631,JERADER@MARATHONOIL.COM,4194213917,"MARTINSVILLE STATION VALVE IS9 (12"" 150 ANSI PLUG VALVE) FAILED APPROXIMATELY TWO HOURS AFTER A DELIVERY WAS INITIATED THROUGH THE VALVE.  THIS VALVE ISOLATES A STORAGE TANK FROM A TANK MANIFOLD.  THIS VALVE HAD BEEN OUT OF SERVICE SINCE JULY 2001.  THE VALVE WAS VISUALLY MONITORED DURING THE COMMISSIONING, AND THE LEAK WAS DISCOVERED IMMEDIATELY UPON OCCURRENCE, AND RESPONSE ACTIONS WERE INITIATED. THE DELIVERY WAS STOPPED AND MANUAL VALVES WERE CLOSED TO ISOLATE THE LEAKING VALVE.  THE VALVE WAS REMOVED AND REPLACED WITH STRAIGHT PIPE.  THE VALVE FLANGE CRACKED AT THE SIX O'CLOCK POSITION ON THE TANK SIDE OF THE VALVE.  IT WILL BE ANALYZED BY KEIFNER AND ASSOCIATES TO DETERMINE THE CAUSE OF FAILURE.  REMEDIATION ACTIVITIES ARE LIMITED TO IMPACTED SOIL REMEDIATION TO IL-EPA CLEAN UP STANDARDS. THE ORIGINIAL 7000-1 REPORT ON THIS INCIDENT WAS FILED 3-18-2002.      4/13/2010 - UPDATED FOLLOWING QA/QC REVIEW.  PLOTTED COORDINATES AND IDENTIFIED LOCATION DID NOT FALL ON A LINE OR AT A STATION.  UPDATED TO THE COORDINATES FOR MARTINSVILLE STATION.  PREVIOUSLY REPORTED COORDINATES WERE 39.3261 AND 87.8968."
20020055,CHEVRON PIPELINE CO,2/6/2002,,,DIESEL,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",348,141,1,BARRELS,,NO,NO,YES,NO,NO,ONSHORE,UNDER GROUND,36,BODY OF PIPE,8,,1948,,RUPTURE,,266398,NO,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",NO,CORROSION,,,"0.28 (T1N,R1W,)",S L B & M,593259,2/6/2002,10000,0,0,0,,15000,10000,231398,RESPONSE & CLEANUP,YES,3,1,#1 OIL LINE,NO,INTERSTATE,,,,NO,YES,NO,NO,,5,"ONSHORE PIPELINE, INCLUDING VALVE SITES",,1,,1830,1870,2,,,,2,LONGITUDINAL-TEAR/CRACK,15,0,NO,YES,NO,NO,YES,YES,NO,NO,31680,31680,YES,1,YES,NO,,YES,2001,NO,,NO,,NO,,NO,,NO,,NO,,0.25,GRADE C,24000,SEAMLESS,,,,4,0,0,0,0,0,0,2,2,45,NO,,,,2,30,YES,YES,NO,NO,YES,NO,NO,,,,,,,,YES,3,,0,3,1,"CORROSION, EXTERNAL",2,COATED,2,GENERAL CORROSION,,1,GALVANIC,,YES,1952,YES,0,0,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCKY THORPE,2815963571,RATHORPE@CHEVRONTEXACO.COM,2815963641,"A PIPELINE CONTROLLER AT CHEVRON PIPELINE COMPANY'S (CPL) CUSTOMER SERVICE CENTER IN HOUSTON, TX NOTICED THE DISCHARGE PRESSURE ON THE #1 OIL LINE AT SALT LAKE STATION HAD DROPPED FROM 1831 TO 119 PSI.  THIS IS AN 8"" LOW SULPHUR DIESEL PIPELINE.  THE CONTROLLER SHUTDOWN THE SALT LAKE STATION #1 OIL LINE.  THE PIPELINE LEAK SITE WAS CONFIRMED AT 6:14PM TO BE JUST OUTSIDE THE SALT LAKE REFINERY BOUNDARY FENCE NEAR HIGHWAY I-215 AT MILEPOST 0.28.  THE INITAL VOLUME REPORTED WAS 200 BARRELS OF DIESEL/GASOLINE MIX.  FURTHER INVESTIGATION ON FEBRUARY 7, REVEALED CORROSION DAMAGE TO THE PIPE FROM WHAT APPEARED TO BE A SECOND PATCH OF EXTERNAL PIPE COATING THAT WAS MADE OVER THE ORIGINAL COATING, AT POINT OF FAILURE.  ANOTHER PIPELINE, NOT BELONGING TO CPL, CROSSED BELOW OUR PIPELINE AT THE POINT WHERE THE COATING PATCH WAS FOUND. THE FAILURE OCCURRED ABOUT 9 FEET FROM AN UPSTREAM WELD, RESULTING IN AN APPRX 14 TO 15 INCH RUPTURE.  ON FEBRUARY 8 AT 5:00PM, CPL BEGAN THE GRADUAL STARTUP OF THE PIPELINE SYSTEM.  THE OFFICE OF PIPELINE SAFETY (OPS) REQUIRED CPL TO HOLD PRESSURE BETWEEN 200 TO 400 PSI FOR 1 HOUR.  THE STARTUP PROCESS WAS APPROVED BY OPS AT 7:45PM.  THE FINAL VOLUME RELEASED WAS DETERMINED TO BE 348 BARRELS AND THE RECOVERED VOLUME WAS 141 BARRELS.  THE NATIONAL TRANSPORTATION SAFETY BOARD (NTSB) HAS ORDERED A LAB ANALYSIS OF THE FAILED PIECE OF PIPE TO ASCERTAIN THE CAUSE.  CPL EXPECTS THE RESULTS FROM THIS ANALYSIS BY THE FIRST WEEK OF APRIL 2002."
20020056,MID - AMERICA PIPELINE CO (MAPCO),2/8/2002,,,ANHYDROUS AMMONIA,HVLS/OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,15,0,2,GALLONS,,NO,NO,,,,ONSHORE,,,,,,,,,,657,,,,EQUIPMENT,,,MP 98.52,,,,0,0,0,0,,7,650,0,,YES,1,6,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KENNETH L LYBARGER,9185730350,KENNETH.LYBARGER@WILLIAMS.COM,9185731183,
20020057,"KOCH PIPELINE COMPANY, L.P.",2/20/2002,N34.1639756,W-96.3117832,PROPANE,HVLS/OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,10,0,2,GALLONS,,NO,NO,,,,ONSHORE,,,,,,,,,,54,,,,EQUIPMENT,,,,,,,0,0,0,0,,3,51,0,,YES,1,6,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOB AEBI,5803956294,AEBIR@KOCHIND.COM,5803952933,
20020058,MOBIL PIPELINE CO,2/12/2002,N32 00207,W 102 02.433,CRUDE OIL,CRUDE OIL,150,120,1,BARRELS,,NO,NO,YES,NO,NO,ONSHORE,ABOVE GROUND,12,SUMP,,,1997,,,,20600,NO,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",NO,OTHER,,,MP 0.00,,593882,2/13/2002,0,2000,0,3000,1,600,0,15000,COST OF ENVIRONMENTAL REMEDATION ,YES,4,8,MIDLAND TANK FARM,NO,INTERSTATE,,,,NO,YES,NO,NO,,3,"PUMP/METER STATION; TERMINAL/TANK FARM PIPING AND EQUIPMENT, INCLUDING SUMPS",,5,,450,850,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,3,0,0,0,0,0,0,0,4,0,NO,,,,,,NO,YES,NO,NO,YES,NO,NO,,,,,,,,YES,3,,0,2,24,MISCELLANEOUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MECHANICAL FAILURE,,,M H ADAMS,7136563926,M.H.ADAMS@EXXONMOBIL.COM,7136568232,THE UNDERGROUND SUMP AT MIDLAND STATION FILLED AND SUBSEQUENTLY OVERFLOWED DUE TO A MECHANICAL FAILURE OF THE SUMP PUMP SWITCH WHICH FAILED TO ACTIVATE THE SUMP PUMP AND PROVIDE A HIGH SUMP ALARM INDICATION IN THE CONTROL ROOM.  ALL OIL WAS CONTAINED ON SITE WITH MINIMAL ENVIRONMENTAL IMPACT.  ALL AGENCY NOTIFICATIONS MADE IN ACCORDANCE WITH PROCEDURES AND IN A TIMELY MANNER.
20020059,COLONIAL PIPELINE CO,2/20/2002,-76 40' 33,39 11' 22,KEROSENE,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",4,3,1,BARRELS,,NO,NO,,,,ONSHORE,,,,,,,,,,30000,,,,EQUIPMENT,,,,5638+41,,,0,22880,5120,0,,0,0,2000,CONTINGENCY,YES,3,6,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STEPHEN E GILLIAM,6787622314,SGILLIAM@COLPIPE.COM,6787622223,
20020060,"EQUISTAR CHEMICALS, L.P.",2/18/2002,29 42' 31.86,95 15' 9.0,NAPHTHA,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",2,0,1,BARRELS,,NO,NO,YES,NO,NO,ONSHORE,ABOVE GROUND,,VALVE,16,,1976,,,,125970,NO,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",NO,EQUIPMENT,,,0.0 @ LCR FEEDSTOCK VALVE,,594348,2/18/2002,0,110000,9125,0,,55,0,6790,VALVE REPAIRS,YES,3,6,MOV 413 @P0002 SUCTION,NO,INTRASTATE,,,,NO,YES,NO,YES,HIGH POPULATION & DRINKING AREAS,3,"PUMP/METER STATION; TERMINAL/TANK FARM PIPING AND EQUIPMENT, INCLUDING SUMPS",,8,,100,285,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,0.25,A4380,65000,ERW,GATE,AMERICAN STEEL,1976,3,0,0,0,0,0,0,0,1,0,NO,,,,0,30,NO,YES,NO,NO,YES,NO,NO,,,,,,,,NO,3,,3,0,20,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,BLOCK VALVE,,,,,,,,,,,,,,,,GREG LEBLANC,7138446942,GREGORY.LEBLANC@EQUISTARCHEM.COM,7138446942,"WITH REGARD TO PART C.2.F- DUE TO THE AGE OF AND SEVERAL OWNERSHIP CHANGES FOR THIS SYSTEM, THE ORGINIAL CONSTRUCTION DOCUMENTS ARE NOT AVAILABLE.  THEREFORE, THE PHYSICAL CONSTRAINTS TO IN-LINE TESTING ARE NOT KNOWN AND ARE CURRENTLY UNDER INVESTIGATION.  THIS DETERMINATION WILL BE MADE EMPIRICALLY CULMINATING WITH A GEOMETRIC TOOL RUN LATER THIS YEAR.  WITH REGARD TO PART D: THE VALVE IS A 12"" (NOMINAL VALVE IN A 16"" (NOMINAL) LINE."
20020061,MOBIL PIPELINE CO,2/17/2002,29.55 790N,94.50.002W,ETHANE,HVLS/OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,20,0,2,GALLONS,,NO,NO,,,,ONSHORE,,,,,,,,,,2050,,,,EQUIPMENT,,,MP 21.78,,,,0,0,0,2000,SEAL REPAIR ESTIMATE COST ADDED,50,0,0,,YES,1,6,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STEVEN J ROBENOLT,7136562651,STEVEN.J.ROBENOLT@EXXONMOBIL.COM,7136568232,
